timestamp	story_id	bytes	mb	success	error
2025-10-14T11:58:13.267734	45530	419506	0.40	True	-
2025-10-14T11:58:37.737779	45531	458576	0.44	True	-
2025-10-14T11:59:08.449872	45532	419389	0.40	True	-
2025-10-14T11:59:31.251713	45533	458530	0.44	True	-
2025-10-14T11:59:54.268822	45534	419549	0.40	True	-
2025-10-14T12:00:18.109427	45535	713137	0.68	True	-
2025-10-14T12:00:41.360733	45536	631452	0.60	True	-
2025-10-14T12:01:04.158009	45537	631505	0.60	True	-
2025-10-14T12:01:30.428012	45538	713120	0.68	True	-
2025-10-14T12:01:54.027102	45539	631734	0.60	True	-
2025-10-14T12:02:19.886172	45540	195239	0.19	True	-
2025-10-14T12:02:42.729470	45541	172501	0.16	True	-
2025-10-14T12:03:06.723129	45542	195178	0.19	True	-
2025-10-14T12:03:32.953881	45543	195149	0.19	True	-
2025-10-14T12:03:57.733850	45544	195322	0.19	True	-
2025-10-14T12:04:41.109758	45545	6997755	6.67	True	-
2025-10-14T12:05:12.745560	45546	5970300	5.69	True	-
2025-10-14T12:05:45.423730	45547	6997591	6.67	True	-
2025-10-14T12:06:17.587076	45548	6997606	6.67	True	-
2025-10-14T12:06:57.637737	45549	6997596	6.67	True	-
2025-10-14T12:07:24.338565	45550	1887894	1.80	True	-
2025-10-14T12:07:53.028444	45551	1691092	1.61	True	-
2025-10-14T12:08:17.860586	45552	1691097	1.61	True	-
2025-10-14T12:08:44.793490	45553	1887891	1.80	True	-
2025-10-14T12:09:13.333295	45554	1691213	1.61	True	-
2025-10-14T12:09:47.058264	45555	6954293	6.63	True	-
2025-10-14T12:10:16.931944	45556	4268670	4.07	True	-
2025-10-14T12:10:50.167025	45557	6954118	6.63	True	-
2025-10-14T12:11:21.249736	45558	6954311	6.63	True	-
2025-10-14T12:11:54.842169	45559	6954198	6.63	True	-
2025-10-14T12:12:25.612789	45560	4789308	4.57	True	-
2025-10-14T12:12:53.623597	45561	4283246	4.08	True	-
