timestamp	story_id	bytes	mb	success	error
2025-10-17T05:29:07.838944	45530	419466	0.40	True	-
2025-10-17T05:29:30.038773	45531	458505	0.44	True	-
2025-10-17T05:29:52.023850	45532	419368	0.40	True	-
2025-10-17T05:30:14.138671	45533	458531	0.44	True	-
2025-10-17T05:30:35.872622	45534	419376	0.40	True	-
2025-10-17T05:30:57.937315	45535	713110	0.68	True	-
2025-10-17T05:31:21.010404	45536	631411	0.60	True	-
2025-10-17T05:31:43.817221	45537	631482	0.60	True	-
2025-10-17T05:32:05.925331	45538	713087	0.68	True	-
2025-10-17T05:32:33.981050	45539	631566	0.60	True	-
# MAX_SUCCESS	2025-10-17T05:32:53.986795	45535	713110	0.68MB
